"","pathway","log2FoldChange","padj","description"
"1","1CMET2-PWY",0.0861622054195538,5.25093415883265e-05,"N10-formyl-tetrahydrofolate biosynthesis"
"2","ANAGLYCOLYSIS-PWY",-0.085290088333849,0.000570210333114821,"glycolysis III (from glucose)"
"3","ARGORNPROST-PWY",1.78315547799895,0.00020837163373899,"arginine, ornithine and proline interconversion"
"4","ASPASN-PWY",1.82878012181972,8.798521617199e-05,"superpathway of L-aspartate and L-asparagine biosynthesis"
"5","AST-PWY",2.55097436278521,4.94227444605664e-11,"L-arginine degradation II (AST pathway)"
"6","BIOTIN-BIOSYNTHESIS-PWY",0.41020726651591,1.11053733147337e-07,"biotin biosynthesis I"
"7","BRANCHED-CHAIN-AA-SYN-PWY",-0.0722275820485249,0.000118596115386433,"superpathway of branched amino acid biosynthesis"
"8","COBALSYN-PWY",-0.215395892755807,3.0291941054382e-15,"adenosylcobalamin salvage from cobinamide I"
"9","CRNFORCAT-PWY",-0.696991238062773,5.23667312654628e-06,"creatinine degradation I"
"10","DENOVOPURINE2-PWY",1.6785788299283,4.50091967464234e-08,"superpathway of purine nucleotides de novo biosynthesis II"
"11","FASYN-ELONG-PWY",-0.134124987281585,1.28656196670609e-06,"fatty acid elongation -- saturated"
"12","FERMENTATION-PWY",1.70824685216385,1.19874644267231e-22,"mixed acid fermentation"
"13","FOLSYN-PWY",0.135198249985298,1.00363707137522e-07,"superpathway of tetrahydrofolate biosynthesis and salvage"
"14","FUCCAT-PWY",1.87896319543113,0.000104511076420993,"fucose degradation"
"15","GALACTUROCAT-PWY",-0.457700521941526,1.26733033953154e-11,"D-galacturonate degradation I"
"16","GLUCOSE1PMETAB-PWY",1.95594568565882,5.84364411323682e-07,"glucose and glucose-1-phosphate degradation"
"17","GLUCUROCAT-PWY",-0.494193423645008,9.78059531102643e-10,"superpathway of &beta;-D-glucuronide and D-glucuronate degradation"
"18","GLYCOGENSYNTH-PWY",-0.144916259427409,0.00292484607063534,"glycogen biosynthesis I (from ADP-D-Glucose)"
"19","GLYCOLYSIS",0.0633841455819611,0.0181094048161383,"glycolysis I (from glucose 6-phosphate)"
"20","HEXITOLDEGSUPER-PWY",1.63754518267096,4.02992168952599e-06,"superpathway of hexitol degradation (bacteria)"
"21","HISDEG-PWY",0.317156813469008,0.00391795643494705,"L-histidine degradation I"
"22","HOMOSER-METSYN-PWY",-0.145235340213378,0.000119904389833567,"L-methionine biosynthesis I"
"23","HSERMETANA-PWY",0.289526837375774,3.44156509637871e-12,"L-methionine biosynthesis III"
"24","ILEUSYN-PWY",-0.176072089518767,8.65921108874896e-10,"L-isoleucine biosynthesis I (from threonine)"
"25","MET-SAM-PWY",-0.0617018629600122,0.0227109627173429,"superpathway of S-adenosyl-L-methionine biosynthesis"
"26","NAD-BIOSYNTHESIS-II",8.52502920714787,3.15757125327264e-09,"NAD salvage pathway II"
"27","NONOXIPENT-PWY",-0.063122738217842,0.00113055194240673,"pentose phosphate pathway (non-oxidative branch)"
"28","P105-PWY",0.0549151563608231,0.0170747438810154,"TCA cycle IV (2-oxoglutarate decarboxylase)"
"29","P122-PWY",1.30397536687948,0.000119904389833567,"heterolactic fermentation"
"30","P124-PWY",-0.838972019937598,3.15333197774908e-18,"Bifidobacterium shunt"
"31","P161-PWY",1.79839792662277,0.0001938490724228,"acetylene degradation"
"32","P221-PWY",-0.265661960689784,6.95509193739941e-11,"octane oxidation"
"33","P23-PWY",1.66101451869243,2.47191314198757e-06,"reductive TCA cycle I"
"34","P461-PWY",1.99293383548325,5.4639234114533e-05,"hexitol fermentation to lactate, formate, ethanol and acetate"
"35","P562-PWY",-0.390427174232762,6.21665891104874e-15,"myo-inositol degradation I"
"36","PANTO-PWY",0.068218513477805,0.00637050828226363,"phosphopantothenate biosynthesis I"
"37","PENTOSE-P-PWY",-0.206740302445785,9.36484191343226e-15,"pentose phosphate pathway"
"38","PHOSLIPSYN-PWY",-0.0490199731256389,0.0181094048161383,"superpathway of phospholipid biosynthesis I (bacteria)"
"39","POLYAMINSYN3-PWY",0.427881028904074,0.0012268459356913,"superpathway of polyamine biosynthesis II"
"40","POLYISOPRENSYN-PWY",-0.0412274269614387,0.0424022046872333,"polyisoprenoid biosynthesis (E. coli)"
"41","PPGPPMET-PWY",-0.0660770289364364,0.00518847472158117,"ppGpp biosynthesis"
"42","PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY",-0.418182940246185,3.21490126960743e-16,"protocatechuate degradation II (ortho-cleavage pathway)"
"43","PRPP-PWY",1.55897896516036,3.74373465504319e-09,"superpathway of histidine, purine, and pyrimidine biosynthesis"
"44","PWY-1541",0.741986060525606,0.00219325278183447,"superpathway of taurine degradation"
"45","PWY-181",1.90738999279354,1.50434319097009e-14,"photorespiration"
"46","PWY-1861",-0.553028419961296,0.000110283898752696,"formaldehyde assimilation II (RuMP Cycle)"
"47","PWY-3661",1.94455219513523,1.79926357330551e-12,"glycine betaine degradation I"
"48","PWY-4984",-0.240255241465857,1.23464404246865e-11,"urea cycle"
"49","PWY-5028",0.237266438242981,0.0187807490558853,"L-histidine degradation II"
"50","PWY-5100",-0.433604631009837,0.0188333692808792,"pyruvate fermentation to acetate and lactate II"
"51","PWY-5101",-0.154272818422068,2.46005990638888e-08,"L-isoleucine biosynthesis II"
"52","PWY-5104",-0.168242776523495,1.56293405266129e-14,"L-isoleucine biosynthesis IV"
"53","PWY-5121",-0.136798802914218,1.46632433425491e-08,"superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)"
"54","PWY-5188",0.377265220588804,2.03658782434182e-07,"tetrapyrrole biosynthesis I (from glutamate)"
"55","PWY-5189",-0.0570746575559193,0.00723391226441761,"tetrapyrrole biosynthesis II (from glycine)"
"56","PWY-5345",0.266803618922416,3.34705224840607e-14,"superpathway of L-methionine biosynthesis (by sulfhydrylation)"
"57","PWY-5347",-0.0522770220486732,0.0366073859408885,"superpathway of L-methionine biosynthesis (transsulfuration)"
"58","PWY-5384",0.558207180846271,0.00205477103769905,"sucrose degradation IV (sucrose phosphorylase)"
"59","PWY-5484",0.140373008312307,3.2656118033269e-05,"glycolysis II (from fructose 6-phosphate)"
"60","PWY-5509",0.251689594651549,0.04679974035199,"adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I"
"61","PWY-5531",-0.615376448522889,0.000880898160692131,"chlorophyllide a biosynthesis II (anaerobic)"
"62","PWY-5659",0.0582590081434351,0.00274093432472569,"GDP-mannose biosynthesis"
"63","PWY-5667",-0.0932743013271536,4.4032128712357e-08,"CDP-diacylglycerol biosynthesis I"
"64","PWY-5695",-0.0872541833410711,1.21047225567633e-05,"urate biosynthesis/inosine 5'-phosphate degradation"
"65","PWY-5705",2.73847312675822,4.0947126402011e-10,"allantoin degradation to glyoxylate III"
"66","PWY-5741",0.102964412580352,0.00125593216947639,"ethylmalonyl-CoA pathway"
"67","PWY-5747",1.13989486204096,1.29050236467326e-05,"2-methylcitrate cycle II"
"68","PWY-5910",1.8993067541365,4.56338198164619e-05,"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)"
"69","PWY-5918",0.58393702960073,1.45826328142992e-05,"superpathay of heme biosynthesis from glutamate"
"70","PWY-5920",-0.0478183264890219,0.0481233931506829,"superpathway of heme biosynthesis from glycine"
"71","PWY-5973",-0.135249005406305,0.000791214726609428,"cis-vaccenate biosynthesis"
"72","PWY-5989",-0.0932634446833052,0.00012243732572435,"stearate biosynthesis II (bacteria and plants)"
"73","PWY-6151",-0.287419472988568,0.000267007168420906,"S-adenosyl-L-methionine cycle I"
"74","PWY-621",-1.09860560999021,7.36289343652615e-18,"sucrose degradation III (sucrose invertase)"
"75","PWY-6269",0.260256577604448,0.0424022046872333,"adenosylcobalamin salvage from cobinamide II"
"76","PWY-6282",-0.103762866749109,2.66676096871619e-05,"palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)"
"77","PWY-6317",1.71992574297925,1.97604196077903e-10,"galactose degradation I (Leloir pathway)"
"78","PWY-6353",-0.254134819284607,3.17834216029979e-20,"purine nucleotides degradation II (aerobic)"
"79","PWY-6386",-0.0466753614832336,0.0496774059514943,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)"
"80","PWY-6467",-0.134518946757539,3.20261949752557e-09,"Kdo transfer to lipid IVA III (Chlamydia)"
"81","PWY-6519",0.26376015831067,1.86969830072203e-10,"8-amino-7-oxononanoate biosynthesis I"
"82","PWY-6545",-0.341174153495207,3.74373465504319e-09,"pyrimidine deoxyribonucleotides de novo biosynthesis III"
"83","PWY-6581",-0.523543208058435,5.22076328283664e-05,"spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis"
"84","PWY-6608",-0.385983308535056,2.33511759406055e-37,"guanosine nucleotides degradation III"
"85","PWY-6609",-0.310707999175289,1.58449704688504e-19,"adenine and adenosine salvage III"
"86","PWY-6612",0.183862502443161,3.07377923691202e-10,"superpathway of tetrahydrofolate biosynthesis"
"87","PWY-6628",-0.0726056462556422,0.00107238790568254,"superpathway of L-phenylalanine biosynthesis"
"88","PWY-6630",-0.0795510856823162,0.000391030412454371,"superpathway of L-tyrosine biosynthesis"
"89","PWY-6641",-0.150774022520734,0.027763377336378,"superpathway of sulfolactate degradation"
"90","PWY-6703",0.434415662703539,4.02992168952599e-06,"preQ0 biosynthesis"
"91","PWY-6749",-0.642974445211818,0.00518155819469652,"CMP-legionaminate biosynthesis I"
"92","PWY-6891",2.79860109733554,4.00222004614082e-11,"thiazole biosynthesis II (Bacillus)"
"93","PWY-6892",2.31566343032674,7.83222744644487e-16,"thiazole biosynthesis I (E. coli)"
"94","PWY-6895",2.24450945476466,5.16705084557265e-19,"superpathway of thiamin diphosphate biosynthesis II"
"95","PWY-6897",0.508890745463894,4.34266088077466e-20,"thiamin salvage II"
"96","PWY-6901",0.839250310098223,1.62267473609081e-19,"superpathway of glucose and xylose degradation"
"97","PWY-7111",-0.179945608196999,1.16211048851187e-08,"pyruvate fermentation to isobutanol (engineered)"
"98","PWY-7159",-0.615376448522889,0.000880898160692131,"chlorophyllide a biosynthesis III (aerobic, light independent)"
"99","PWY-7184",0.0860862272383669,1.44535385414972e-05,"pyrimidine deoxyribonucleotides de novo biosynthesis I"
"100","PWY-7187",1.66213040689132,1.69182964700471e-07,"pyrimidine deoxyribonucleotides de novo biosynthesis II"
"101","PWY-7196",0.757786785448851,4.59758809475923e-21,"superpathway of pyrimidine ribonucleosides salvage"
"102","PWY-7199",-0.193406338469917,2.72875812563133e-08,"pyrimidine deoxyribonucleosides salvage"
"103","PWY-7200",-0.0739277863793373,0.00272392299359566,"superpathway of pyrimidine deoxyribonucleoside salvage"
"104","PWY-7211",0.047892611220122,0.0135733298235423,"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis"
"105","PWY-7237",-0.279888372282815,6.13054847592252e-13,"myo-, chiro- and scillo-inositol degradation"
"106","PWY-7242",-0.216890477034431,8.35690916632084e-05,"D-fructuronate degradation"
"107","PWY-7328",1.76801396475263,2.08871331830438e-09,"superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis"
"108","PWY-7391",1.94171762506886,0.000119904389833567,"isoprene biosynthesis II (engineered)"
"109","PWY-7392",-0.179523991605207,1.21047225567633e-05,"taxadiene biosynthesis (engineered)"
"110","PWY-7431",0.576951908757698,0.00921965910395523,"aromatic biogenic amine degradation (bacteria)"
"111","PWY-7663",-0.113071124000129,8.68195477389481e-05,"gondoate biosynthesis (anaerobic)"
"112","PWY-7664",-0.10406870711679,1.73801771464237e-05,"oleate biosynthesis IV (anaerobic)"
"113","PWY-922",1.940675962107,0.000104511076420993,"mevalonate pathway I"
"114","PWY0-1061",2.08615137219905,2.47753945045754e-18,"superpathway of L-alanine biosynthesis"
"115","PWY0-1241",0.520206766854012,6.57139947137778e-05,"ADP-L-glycero-&beta;-D-manno-heptose biosynthesis"
"116","PWY0-1261",2.28592094532188,2.77493322773535e-20,"anhydromuropeptides recycling"
"117","PWY0-1296",-0.376656023687765,1.26949347849127e-21,"purine ribonucleosides degradation"
"118","PWY0-1297",-0.351952066697408,6.52897293895707e-17,"superpathway of purine deoxyribonucleosides degradation"
"119","PWY0-1298",1.72449017822061,0.000153190685482883,"superpathway of pyrimidine deoxyribonucleosides degradation"
"120","PWY0-1319",-0.0932743013271536,4.4032128712357e-08,"CDP-diacylglycerol biosynthesis II"
"121","PWY0-1415",-0.347869308404059,0.0061226345701078,"superpathway of heme biosynthesis from uroporphyrinogen-III"
"122","PWY0-1533",-0.110043987206334,0.000104511076420993,"methylphosphonate degradation I"
"123","PWY0-1586",1.97522781128854,3.7628019311246e-07,"peptidoglycan maturation (meso-diaminopimelate containing)"
"124","PWY0-166",0.0639290747230305,0.00197209445352027,"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)"
"125","PWY0-42",1.26266367711657,0.0013270963110158,"2-methylcitrate cycle I"
"126","PWY0-845",1.59325824313658,1.65849378086466e-22,"superpathway of pyridoxal 5'-phosphate biosynthesis and salvage"
"127","PWY0-862",-0.101553075552626,4.37374927439923e-05,"(5Z)-dodec-5-enoate biosynthesis"
"128","PWYG-321",-0.104970344751453,1.50981456025013e-05,"mycolate biosynthesis"
"129","PYRIDNUCSAL-PWY",-0.107255083313673,0.000119904389833567,"NAD salvage pathway I"
"130","PYRIDNUCSYN-PWY",0.236026253253645,1.92196336810684e-08,"NAD biosynthesis I (from aspartate)"
"131","PYRIDOXSYN-PWY",2.26165720446042,2.82774643137427e-19,"pyridoxal 5'-phosphate biosynthesis I"
"132","REDCITCYC",0.153746296346082,0.00359039783593333,"TCA cycle VIII (helicobacter)"
"133","RUMP-PWY",-0.551994212380337,0.000570210333114821,"formaldehyde oxidation I"
"134","SALVADEHYPOX-PWY",-0.332221217116504,9.21749588853441e-33,"adenosine nucleotides degradation II"
"135","SER-GLYSYN-PWY",-0.0713910341983406,0.000104511076420993,"superpathway of L-serine and glycine biosynthesis I"
"136","TCA-GLYOX-BYPASS",0.180758453636976,1.70936107270166e-06,"superpathway of glyoxylate bypass and TCA"
"137","THISYN-PWY",1.63007459371474,1.35995162149985e-27,"superpathway of thiamin diphosphate biosynthesis I"
"138","TRNA-CHARGING-PWY",0.796555559626045,1.40870612739549e-21,"tRNA charging"
"139","TYRFUMCAT-PWY",-0.278328564934434,2.00920795366023e-09,"L-tyrosine degradation I"
"140","UBISYN-PWY",0.18215376482398,2.46005990638888e-08,"superpathway of ubiquinol-8 biosynthesis (prokaryotic)"
"141","VALSYN-PWY",-0.176072089518767,8.65921108874896e-10,"L-valine biosynthesis"
