"","pathway","log2FoldChange","padj","description"
"1","ARGSYN-PWY",-0.0866059700773009,0.0106707955720305,"L-arginine biosynthesis I (via L-ornithine)"
"2","ARGSYNBSUB-PWY",-0.117208373727536,0.00467371260090474,"L-arginine biosynthesis II (acetyl cycle)"
"3","CHLOROPHYLL-SYN",5.35931348871196,2.49285925656834e-05,"chlorophyllide a biosynthesis I (aerobic, light-dependent)"
"4","DTDPRHAMSYN-PWY",0.13673488176766,0.000335525339529567,"dTDP-L-rhamnose biosynthesis I"
"5","FAO-PWY",-0.341660191778369,0.0413829644073332,"fatty acid &beta;-oxidation I"
"6","FASYN-ELONG-PWY",-0.0767664562388709,0.0199741741751629,"fatty acid elongation -- saturated"
"7","FOLSYN-PWY",0.202202539822023,0.0136050446964695,"superpathway of tetrahydrofolate biosynthesis and salvage"
"8","GALACTARDEG-PWY",5.23595619126689,0.000240760315762003,"D-galactarate degradation I"
"9","GLUCARGALACTSUPER-PWY",5.23595619126689,0.000240760315762003,"superpathway of D-glucarate and D-galactarate degradation"
"10","GLYCOGENSYNTH-PWY",-0.470559282937865,0.00286824134921443,"glycogen biosynthesis I (from ADP-D-Glucose)"
"11","HOMOSER-METSYN-PWY",0.182630233448413,0.0483794578140997,"L-methionine biosynthesis I"
"12","KETOGLUCONMET-PWY",1.18422317814343,0.00640615330010598,"ketogluconate metabolism"
"13","MET-SAM-PWY",0.127962963921304,0.0396350148328106,"superpathway of S-adenosyl-L-methionine biosynthesis"
"14","NAD-BIOSYNTHESIS-II",9.76464306082492,5.21204802436394e-08,"NAD salvage pathway II"
"15","P101-PWY",2.12975198756522,5.15864702740888e-14,"ectoine biosynthesis"
"16","P221-PWY",0.389218978734643,3.62032766951086e-26,"octane oxidation"
"17","P261-PWY",5.43004093055811,0.000174331223535633,"coenzyme M biosynthesis I"
"18","POLYISOPRENSYN-PWY",0.0922024301984506,0.000560634911974033,"polyisoprenoid biosynthesis (E. coli)"
"19","PPGPPMET-PWY",0.130132578705025,0.0328424440562513,"ppGpp biosynthesis"
"20","PRPP-PWY",0.304398710764304,0.0483794578140997,"superpathway of histidine, purine, and pyrimidine biosynthesis"
