"","pathway","log2FoldChange","padj","description"
"1","ANAEROFRUCAT-PWY",0.689429350704778,0.00265955188624027,"homolactic fermentation"
"2","ANAGLYCOLYSIS-PWY",0.112099230315255,0.00312142974029369,"glycolysis III (from glucose)"
"3","ARGORNPROST-PWY",3.23582807324723,1.79783555956353e-15,"arginine, ornithine and proline interconversion"
"4","ASPASN-PWY",11.8556025410597,3.25318006246835e-21,"superpathway of L-aspartate and L-asparagine biosynthesis"
"5","CHLOROPHYLL-SYN",5.25974614342451,2.05875071959097e-05,"chlorophyllide a biosynthesis I (aerobic, light-dependent)"
"6","COA-PWY",-0.067296864721343,0.00905667866032321,"coenzyme A biosynthesis I"
"7","COLANSYN-PWY",1.33476568983997,1.79349960745669e-07,"colanic acid building blocks biosynthesis"
"8","DAPLYSINESYN-PWY",-0.0671253100315422,0.0108993857242817,"L-lysine biosynthesis I"
"9","DENOVOPURINE2-PWY",0.815316450677251,1.31717666875431e-14,"superpathway of purine nucleotides de novo biosynthesis II"
"10","FAO-PWY",-0.439852626497837,0.00339323992244758,"fatty acid &beta;-oxidation I"
"11","FASYN-ELONG-PWY",-0.143069479949176,9.09881642351279e-07,"fatty acid elongation -- saturated"
"12","FASYN-INITIAL-PWY",-0.0714002651996342,0.0391588224059931,"superpathway of fatty acid biosynthesis initiation (E. coli)"
"13","FERMENTATION-PWY",0.535696064539111,0.0358248058683246,"mixed acid fermentation"
"14","FOLSYN-PWY",0.199986432015722,0.00482619249159095,"superpathway of tetrahydrofolate biosynthesis and salvage"
"15","FUCCAT-PWY",11.5012192707393,4.41486471150475e-20,"fucose degradation"
"16","GALACTARDEG-PWY",5.13040228961719,0.000232642669048197,"D-galactarate degradation I"
"17","GALACTUROCAT-PWY",-0.467572716440643,0.0404476369159106,"D-galacturonate degradation I"
"18","GLCMANNANAUT-PWY",10.7527710245462,3.96420815895602e-23,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"
"19","GLUCARGALACTSUPER-PWY",5.13040228961719,0.000232642669048197,"superpathway of D-glucarate and D-galactarate degradation"
"20","GLYCOGENSYNTH-PWY",-0.271853400782529,0.018765995601988,"glycogen biosynthesis I (from ADP-D-Glucose)"
"21","HEME-BIOSYNTHESIS-II",-0.0989649764385737,9.79719038333031e-05,"heme biosynthesis I (aerobic)"
"22","HEMESYN2-PWY",-0.0647078084927175,0.00597318525178125,"heme biosynthesis II (anaerobic)"
"23","HEXITOLDEGSUPER-PWY",8.78183262815071,4.334185317463e-23,"superpathway of hexitol degradation (bacteria)"
"24","KETOGLUCONMET-PWY",1.06625583853543,0.0108993857242817,"ketogluconate metabolism"
"25","LEU-DEG2-PWY",-0.0870179642217866,0.00771421751722356,"L-leucine degradation I"
"26","NAD-BIOSYNTHESIS-II",9.64930379391074,2.80333493593423e-08,"NAD salvage pathway II"
"27","NAGLIPASYN-PWY",-0.094560766108903,0.000475838200857602,"lipid IVA biosynthesis"
"28","NONMEVIPP-PWY",-0.101749096889726,9.59872098438338e-05,"methylerythritol phosphate pathway I"
"29","NONOXIPENT-PWY",0.0762060731133404,0.00193624948097337,"pentose phosphate pathway (non-oxidative branch)"
"30","P101-PWY",2.02437971278565,7.04566586356484e-14,"ectoine biosynthesis"
"31","P105-PWY",-0.0861926045800532,0.00943681982023645,"TCA cycle IV (2-oxoglutarate decarboxylase)"
"32","P108-PWY",-0.0715394059683411,0.00333662281286392,"pyruvate fermentation to propanoate I"
"33","P122-PWY",2.2673696027411,7.9893761746893e-10,"heterolactic fermentation"
"34","P161-PWY",3.17141778597257,1.98708805392398e-14,"acetylene degradation"
"35","P221-PWY",0.313786419295929,7.39564335528227e-17,"octane oxidation"
"36","P23-PWY",1.72553305639213,0.000767182348084187,"reductive TCA cycle I"
"37","P261-PWY",5.32543531410748,0.000150460470241028,"coenzyme M biosynthesis I"
"38","P441-PWY",9.93157496129599,7.71069160644098e-40,"superpathway of N-acetylneuraminate degradation"
"39","P461-PWY",11.1245823708437,1.02913079877661e-17,"hexitol fermentation to lactate, formate, ethanol and acetate"
"40","PANTO-PWY",-0.0969735753910572,0.000133003871513571,"phosphopantothenate biosynthesis I"
"41","PRPP-PWY",0.745597863653223,3.91917208182089e-16,"superpathway of histidine, purine, and pyrimidine biosynthesis"
"42","PWY-1541",-0.756540202168304,0.000344747709450048,"superpathway of taurine degradation"
"43","PWY-1622",1.88529623543923,9.0713611357909e-17,"formaldehyde assimilation I (serine pathway)"
"44","PWY-1861",-1.15642581076363,0.00108344982791114,"formaldehyde assimilation II (RuMP Cycle)"
"45","PWY-3661",0.442366832749357,0.00943681982023645,"glycine betaine degradation I"
"46","PWY-3781",-0.0734353171017168,3.37628578303163e-06,"aerobic respiration I (cytochrome c)"
"47","PWY-5028",1.00149648085815,1.82215147836598e-05,"L-histidine degradation II"
"48","PWY-5100",2.6026764476275,1.33695047116935e-25,"pyruvate fermentation to acetate and lactate II"
"49","PWY-5104",-0.214839979398696,0.00181038467315762,"L-isoleucine biosynthesis IV"
"50","PWY-5189",-0.093063200576072,0.000333761689573636,"tetrapyrrole biosynthesis II (from glycine)"
"51","PWY-5384",0.84931057791019,0.0136891964070296,"sucrose degradation IV (sucrose phosphorylase)"
"52","PWY-5505",0.386504473425446,0.000156793354049063,"L-glutamate and L-glutamine biosynthesis"
"53","PWY-5509",2.47853063874967,3.74231535163779e-49,"adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I"
"54","PWY-5529",5.23392314014331,5.92314297551068e-06,"superpathway of bacteriochlorophyll a biosynthesis"
"55","PWY-5531",1.41508190377004,1.85394415910051e-15,"chlorophyllide a biosynthesis II (anaerobic)"
"56","PWY-5667",-0.103392640987829,0.0276352113711206,"CDP-diacylglycerol biosynthesis I"
"57","PWY-5705",-2.73788215876341,7.99782061828887e-09,"allantoin degradation to glyoxylate III"
