"","pathway","log2FoldChange","padj","description"
"1","ARG+POLYAMINE-SYN",0.762282716222869,0.00319394215479798,"superpathway of arginine and polyamine biosynthesis"
"2","CHLOROPHYLL-SYN",-1.41781947794421,0.0259561135016474,"chlorophyllide a biosynthesis I (aerobic, light-dependent)"
"3","NAD-BIOSYNTHESIS-II",7.53127943573277,0.00202772568905149,"NAD salvage pathway II"
"4","P4-PWY",-0.140787047564247,0.0439863652533469,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
"5","POLYAMINSYN3-PWY",0.765508772630337,0.00769593098594174,"superpathway of polyamine biosynthesis II"
"6","POLYAMSYN-PWY",0.788759956369817,0.00678916241934095,"superpathway of polyamine biosynthesis I"
"7","PWY-1541",-0.701252966513526,0.0259561135016474,"superpathway of taurine degradation"
"8","PWY-1861",-1.47978926577021,0.00678916241934095,"formaldehyde assimilation II (RuMP Cycle)"
"9","PWY-5028",0.609293917105352,0.0262087936780764,"L-histidine degradation II"
"10","PWY-5384",0.701374807724652,0.0142112636540096,"sucrose degradation IV (sucrose phosphorylase)"
"11","PWY-5529",-1.37872240340006,0.0119204836268947,"superpathway of bacteriochlorophyll a biosynthesis"
"12","PWY-6269",3.57382177153437,0.00808521010033252,"adenosylcobalamin salvage from cobinamide II"
"13","PWY-6507",-1.64353207001585,0.00187597631748174,"4-deoxy-L-threo-hex-4-enopyranuronate degradation"
"14","PWY-6641",0.802266783530031,0.00187597631748174,"superpathway of sulfolactate degradation"
"15","PWY-7328",-1.34468114962528,0.0262087936780764,"superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis"
"16","PWY-7376",2.82522449641394,0.00277530505255368,"cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)"
"17","RUMP-PWY",-1.47745881306092,0.0122153755454653,"formaldehyde oxidation I"
