"","pathway","log2FoldChange","padj","description"
"1","ARG+POLYAMINE-SYN",1.01986561644963,1.46243210544051e-06,"superpathway of arginine and polyamine biosynthesis"
"2","ARGORNPROST-PWY",4.13954367169804,1.22117111436392e-50,"arginine, ornithine and proline interconversion"
"3","ASPASN-PWY",9.84542564574868,1.11427655058408e-37,"superpathway of L-aspartate and L-asparagine biosynthesis"
"4","CHLOROPHYLL-SYN",-1.50413961041509,0.0016009818370245,"chlorophyllide a biosynthesis I (aerobic, light-dependent)"
"5","DENOVOPURINE2-PWY",9.00654000038188,8.46024770032829e-23,"superpathway of purine nucleotides de novo biosynthesis II"
"6","FERMENTATION-PWY",5.63562785966954,1.66608393843806e-45,"mixed acid fermentation"
"7","FOLSYN-PWY",0.91333718506785,5.47141946204701e-12,"superpathway of tetrahydrofolate biosynthesis and salvage"
"8","FUCCAT-PWY",9.68643646690218,1.91238493029405e-28,"fucose degradation"
"9","GALACTARDEG-PWY",-1.5226244651347,0.00564000656563514,"D-galactarate degradation I"
"10","GLCMANNANAUT-PWY",9.62853170858842,9.12746303895816e-44,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"
"11","GLUCARGALACTSUPER-PWY",-1.5226244651347,0.00564000656563514,"superpathway of D-glucarate and D-galactarate degradation"
"12","HEME-BIOSYNTHESIS-II",-0.062690925081755,0.0143166085082283,"heme biosynthesis I (aerobic)"
"13","HEXITOLDEGSUPER-PWY",4.43695213474485,0.00193808694074134,"superpathway of hexitol degradation (bacteria)"
"14","NAD-BIOSYNTHESIS-II",7.4431613238215,5.39079934130386e-05,"NAD salvage pathway II"
"15","NONMEVIPP-PWY",-0.081858263653665,0.000802974728792825,"methylerythritol phosphate pathway I"
"16","NONOXIPENT-PWY",0.102009763170446,5.2349159387244e-08,"pentose phosphate pathway (non-oxidative branch)"
"17","P105-PWY",-0.185264068924906,0.00516354802416895,"TCA cycle IV (2-oxoglutarate decarboxylase)"
"18","P108-PWY",-0.0689248097257253,0.00884298748052827,"pyruvate fermentation to propanoate I"
"19","P122-PWY",2.7319553466983,7.14814010890901e-07,"heterolactic fermentation"
"20","P161-PWY",4.70319830345283,1.82115930821065e-78,"acetylene degradation"
"21","P4-PWY",-0.183004607802576,0.000443493259805627,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
"22","P441-PWY",8.91801828687505,1.75056308946401e-05,"superpathway of N-acetylneuraminate degradation"
"23","P461-PWY",9.79433469134918,7.26693390589356e-37,"hexitol fermentation to lactate, formate, ethanol and acetate"
"24","PANTO-PWY",-0.0581338622365151,0.0257144282100373,"phosphopantothenate biosynthesis I"
"25","POLYAMINSYN3-PWY",1.0223188149082,3.1589390430612e-06,"superpathway of polyamine biosynthesis II"
"26","POLYAMSYN-PWY",1.06008238973877,1.8406332395776e-06,"superpathway of polyamine biosynthesis I"
"27","PRPP-PWY",8.42652603618331,4.09628355796861e-08,"superpathway of histidine, purine, and pyrimidine biosynthesis"
"28","PWY-1541",-0.784098068233168,0.00286030042995086,"superpathway of taurine degradation"
"29","PWY-1861",-1.56598494862247,0.000178314789619023,"formaldehyde assimilation II (RuMP Cycle)"
"30","PWY-3781",-0.0419335871719336,0.0153140869089197,"aerobic respiration I (cytochrome c)"
"31","PWY-5028",0.526695606659123,0.0395265500840292,"L-histidine degradation II"
"32","PWY-5189",-0.0756573600227115,0.00292733266297464,"tetrapyrrole biosynthesis II (from glycine)"
"33","PWY-5384",2.19855639534749,8.13635009548648e-34,"sucrose degradation IV (sucrose phosphorylase)"
"34","PWY-5419",-1.14338033787566,0.0487557385842317,"catechol degradation to 2-oxopent-4-enoate II"
"35","PWY-5505",0.524597457208392,0.00936427794902868,"L-glutamate and L-glutamine biosynthesis"
"36","PWY-5509",4.11564030319289,4.63663302008723e-60,"adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I"
"37","PWY-5529",-1.46512344676923,0.00136919463266172,"superpathway of bacteriochlorophyll a biosynthesis"
"38","PWY-5910",9.14670656676825,2.37265438887002e-07,"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)"
"39","PWY-5973",0.056699127581713,0.0152677470856913,"cis-vaccenate biosynthesis"
"40","PWY-6269",8.06632008236962,5.05082198060393e-89,"adenosylcobalamin salvage from cobinamide II"
"41","PWY-6317",6.86987144013357,4.63663302008723e-60,"galactose degradation I (Leloir pathway)"
"42","PWY-6353",0.127725277662997,0.0490931346072329,"purine nucleotides degradation II (aerobic)"
"43","PWY-6507",1.61513452582813,1.44203626353649e-16,"4-deoxy-L-threo-hex-4-enopyranuronate degradation"
"44","PWY-6612",1.05296945490924,1.09248819422356e-10,"superpathway of tetrahydrofolate biosynthesis"
"45","PWY-6641",0.71972464443333,0.000585247937682067,"superpathway of sulfolactate degradation"
"46","PWY-6703",-0.3873059486803,0.0466452179575132,"preQ0 biosynthesis"
"47","PWY-6749",4.18043156276833,3.88767394010833e-64,"CMP-legionaminate biosynthesis I"
"48","PWY-6892",6.77881791514549,1.02315949877727e-52,"thiazole biosynthesis I (E. coli)"
"49","PWY-6901",2.89986984851476,2.61146584042774e-09,"superpathway of glucose and xylose degradation"
"50","PWY-7187",8.77140380286688,1.56788257115143e-21,"pyrimidine deoxyribonucleotides de novo biosynthesis II"
"51","PWY-7237",0.363834765920724,0.000114063387203658,"myo-, chiro- and scillo-inositol degradation"
"52","PWY-7328",-1.42820125645981,0.0110470513216576,"superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis"
"53","PWY-7376",3.66731317980802,1.50855791428854e-15,"cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)"
"54","PWY-7391",5.20851320743327,0.000402273731859613,"isoprene biosynthesis II (engineered)"
"55","PWY-7431",-0.502543909031794,0.0402973708864061,"aromatic biogenic amine degradation (bacteria)"
"56","PWY-7560",-0.081858263653665,0.000802974728792825,"methylerythritol phosphate pathway II"
"57","PWY-922",9.34113665410982,4.66429646914302e-46,"mevalonate pathway I"
"58","PWY0-1061",4.47911960491592,1.21196413408558e-82,"superpathway of L-alanine biosynthesis"
"59","PWY0-1297",0.141190671228436,0.0466452179575132,"superpathway of purine deoxyribonucleosides degradation"
"60","PWY0-781",-0.115143798185955,0.0336476738524502,"aspartate superpathway"
"61","PWY0-845",-0.464061852086828,0.0290935553349227,"superpathway of pyridoxal 5'-phosphate biosynthesis and salvage"
"62","RUMP-PWY",-1.5636522650098,0.0003116312921574,"formaldehyde oxidation I"
"63","SER-GLYSYN-PWY",0.0566579307614613,0.0141486085052602,"superpathway of L-serine and glycine biosynthesis I"
"64","TCA-GLYOX-BYPASS",-0.318857704848428,0.026553768155912,"superpathway of glyoxylate bypass and TCA"
"65","THISYN-PWY",5.46922610085017,5.61390663012568e-24,"superpathway of thiamin diphosphate biosynthesis I"
"66","UBISYN-PWY",-0.322433522692724,0.00901691991715876,"superpathway of ubiquinol-8 biosynthesis (prokaryotic)"
