description,pathway,log2FoldChange_C323,padj_C323,log2FoldChange_D046,padj_D046,log2FoldChange_Navi,padj_Navi
sucrose degradation III (sucrose invertase),PWY-621,-1.09860561,7.36E-18,NA,NA,NA,NA
Bifidobacterium shunt,P124-PWY,-0.83897202,3.15E-18,NA,NA,NA,NA
creatinine degradation I,CRNFORCAT-PWY,-0.696991238,5.24E-06,NA,NA,NA,NA
CMP-legionaminate biosynthesis I,PWY-6749,-0.642974445,0.005181558,2.502863482,5.17E-19,4.180431563,3.89E-64
chlorophyllide a biosynthesis II (anaerobic),PWY-5531,-0.615376449,0.000880898,1.415081904,1.85E-15,NA,NA
"chlorophyllide a biosynthesis III (aerobic, light independent)",PWY-7159,-0.615376449,0.000880898,1.415081904,1.85E-15,NA,NA
formaldehyde assimilation II (RuMP Cycle),PWY-1861,-0.55302842,0.000110284,-1.156425811,0.00108345,-1.565984949,0.000178315
formaldehyde oxidation I,RUMP-PWY,-0.551994212,0.00057021,-1.156765272,0.001314111,-1.563652265,0.000311631
"spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis",PWY-6581,-0.523543208,5.22E-05,2.253924629,1.12E-22,NA,NA
superpathway of &beta;-D-glucuronide and D-glucuronate degradation,GLUCUROCAT-PWY,-0.494193424,9.78E-10,NA,NA,NA,NA
D-galacturonate degradation I,GALACTUROCAT-PWY,-0.457700522,1.27E-11,-0.467572716,0.040447637,NA,NA
pyruvate fermentation to acetate and lactate II,PWY-5100,-0.433604631,0.018833369,2.602676448,1.34E-25,NA,NA
protocatechuate degradation II (ortho-cleavage pathway),PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,-0.41818294,3.21E-16,NA,NA,NA,NA
myo-inositol degradation I,P562-PWY,-0.390427174,6.22E-15,NA,NA,NA,NA
guanosine nucleotides degradation III,PWY-6608,-0.385983309,2.34E-37,NA,NA,NA,NA
purine ribonucleosides degradation,PWY0-1296,-0.376656024,1.27E-21,NA,NA,NA,NA
superpathway of purine deoxyribonucleosides degradation,PWY0-1297,-0.351952067,6.53E-17,0.1996138,0.020011537,0.141190671,0.046645218
superpathway of heme biosynthesis from uroporphyrinogen-III,PWY0-1415,-0.347869308,0.006122635,1.057718074,1.96E-09,NA,NA
pyrimidine deoxyribonucleotides de novo biosynthesis III,PWY-6545,-0.341174153,3.74E-09,NA,NA,NA,NA
adenosine nucleotides degradation II,SALVADEHYPOX-PWY,-0.332221217,9.22E-33,NA,NA,NA,NA
adenine and adenosine salvage III,PWY-6609,-0.310707999,1.58E-19,NA,NA,NA,NA
S-adenosyl-L-methionine cycle I,PWY-6151,-0.287419473,0.000267007,0.960741666,8.75E-05,NA,NA
"myo-, chiro- and scillo-inositol degradation",PWY-7237,-0.279888372,6.13E-13,NA,NA,0.363834766,0.000114063
L-tyrosine degradation I,TYRFUMCAT-PWY,-0.278328565,2.01E-09,NA,NA,NA,NA
octane oxidation,P221-PWY,-0.265661961,6.96E-11,0.313786419,7.40E-17,NA,NA
purine nucleotides degradation II (aerobic),PWY-6353,-0.254134819,3.18E-20,NA,NA,0.127725278,0.049093135
urea cycle,PWY-4984,-0.240255241,1.23E-11,NA,NA,NA,NA
D-fructuronate degradation,PWY-7242,-0.216890477,8.36E-05,NA,NA,NA,NA
adenosylcobalamin salvage from cobinamide I,COBALSYN-PWY,-0.215395893,3.03E-15,NA,NA,NA,NA
pentose phosphate pathway,PENTOSE-P-PWY,-0.206740302,9.36E-15,NA,NA,NA,NA
pyrimidine deoxyribonucleosides salvage,PWY-7199,-0.193406338,2.73E-08,NA,NA,NA,NA
pyruvate fermentation to isobutanol (engineered),PWY-7111,-0.179945608,1.16E-08,NA,NA,NA,NA
taxadiene biosynthesis (engineered),PWY-7392,-0.179523992,1.21E-05,0.398467045,1.34E-05,NA,NA
L-isoleucine biosynthesis I (from threonine),ILEUSYN-PWY,-0.17607209,8.66E-10,NA,NA,NA,NA
L-valine biosynthesis,VALSYN-PWY,-0.17607209,8.66E-10,NA,NA,NA,NA
L-isoleucine biosynthesis IV,PWY-5104,-0.168242777,1.56E-14,-0.214839979,0.001810385,NA,NA
L-isoleucine biosynthesis II,PWY-5101,-0.154272818,2.46E-08,NA,NA,NA,NA
superpathway of sulfolactate degradation,PWY-6641,-0.150774023,0.027763377,0.519063408,0.023143762,0.719724644,0.000585248
L-methionine biosynthesis I,HOMOSER-METSYN-PWY,-0.14523534,0.000119904,NA,NA,NA,NA
glycogen biosynthesis I (from ADP-D-Glucose),GLYCOGENSYNTH-PWY,-0.144916259,0.002924846,-0.271853401,0.018765996,NA,NA
superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),PWY-5121,-0.136798803,1.47E-08,NA,NA,NA,NA
cis-vaccenate biosynthesis,PWY-5973,-0.135249005,0.000791215,NA,NA,0.056699128,0.015267747
Kdo transfer to lipid IVA III (Chlamydia),PWY-6467,-0.134518947,3.20E-09,NA,NA,NA,NA
fatty acid elongation -- saturated,FASYN-ELONG-PWY,-0.134124987,1.29E-06,-0.14306948,9.10E-07,NA,NA
gondoate biosynthesis (anaerobic),PWY-7663,-0.113071124,8.68E-05,-0.116891502,1.61E-06,NA,NA
methylphosphonate degradation I,PWY0-1533,-0.110043987,0.000104511,1.248786679,1.02E-20,NA,NA
NAD salvage pathway I,PYRIDNUCSAL-PWY,-0.107255083,0.000119904,NA,NA,NA,NA
mycolate biosynthesis,PWYG-321,-0.104970345,1.51E-05,-0.119238221,0.01068769,NA,NA
oleate biosynthesis IV (anaerobic),PWY-7664,-0.104068707,1.74E-05,-0.118010588,0.00948238,NA,NA
palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),PWY-6282,-0.103762867,2.67E-05,-0.121227073,0.010899386,NA,NA
(5Z)-dodec-5-enoate biosynthesis,PWY0-862,-0.101553076,4.37E-05,-0.110475946,0.023143762,NA,NA
CDP-diacylglycerol biosynthesis I,PWY-5667,-0.093274301,4.40E-08,-0.103392641,0.027635211,NA,NA
CDP-diacylglycerol biosynthesis II,PWY0-1319,-0.093274301,4.40E-08,-0.103392641,0.027635211,NA,NA
stearate biosynthesis II (bacteria and plants),PWY-5989,-0.093263445,0.000122437,NA,NA,NA,NA
urate biosynthesis/inosine 5'-phosphate degradation,PWY-5695,-0.087254183,1.21E-05,NA,NA,NA,NA
glycolysis III (from glucose),ANAGLYCOLYSIS-PWY,-0.085290088,0.00057021,0.11209923,0.00312143,NA,NA
superpathway of L-tyrosine biosynthesis,PWY-6630,-0.079551086,0.00039103,NA,NA,NA,NA
superpathway of pyrimidine deoxyribonucleoside salvage,PWY-7200,-0.073927786,0.002723923,NA,NA,NA,NA
superpathway of L-phenylalanine biosynthesis,PWY-6628,-0.072605646,0.001072388,NA,NA,NA,NA
superpathway of branched amino acid biosynthesis,BRANCHED-CHAIN-AA-SYN-PWY,-0.072227582,0.000118596,NA,NA,NA,NA
superpathway of L-serine and glycine biosynthesis I,SER-GLYSYN-PWY,-0.071391034,0.000104511,NA,NA,0.056657931,0.014148609
ppGpp biosynthesis,PPGPPMET-PWY,-0.066077029,0.005188475,NA,NA,NA,NA
pentose phosphate pathway (non-oxidative branch),NONOXIPENT-PWY,-0.063122738,0.001130552,0.076206073,0.001936249,0.102009763,5.23E-08
superpathway of S-adenosyl-L-methionine biosynthesis,MET-SAM-PWY,-0.061701863,0.022710963,NA,NA,NA,NA
tetrapyrrole biosynthesis II (from glycine),PWY-5189,-0.057074658,0.007233912,-0.093063201,0.000333762,-0.07565736,0.002927333
superpathway of L-methionine biosynthesis (transsulfuration),PWY-5347,-0.052277022,0.036607386,NA,NA,NA,NA
superpathway of phospholipid biosynthesis I (bacteria),PHOSLIPSYN-PWY,-0.049019973,0.018109405,NA,NA,NA,NA
superpathway of heme biosynthesis from glycine,PWY-5920,-0.047818326,0.048123393,-0.062140508,0.027518501,NA,NA
UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),PWY-6386,-0.046675361,0.049677406,NA,NA,NA,NA
polyisoprenoid biosynthesis (E. coli),POLYISOPRENSYN-PWY,-0.041227427,0.042402205,NA,NA,NA,NA
superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,PWY-7211,0.047892611,0.01357333,NA,NA,NA,NA
TCA cycle IV (2-oxoglutarate decarboxylase),P105-PWY,0.054915156,0.017074744,-0.086192605,0.00943682,-0.185264069,0.005163548
GDP-mannose biosynthesis,PWY-5659,0.058259008,0.002740934,NA,NA,NA,NA
glycolysis I (from glucose 6-phosphate),GLYCOLYSIS,0.063384146,0.018109405,NA,NA,NA,NA
superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),PWY0-166,0.063929075,0.001972094,NA,NA,NA,NA
phosphopantothenate biosynthesis I,PANTO-PWY,0.068218513,0.006370508,-0.096973575,0.000133004,-0.058133862,0.025714428
pyrimidine deoxyribonucleotides de novo biosynthesis I,PWY-7184,0.086086227,1.45E-05,NA,NA,NA,NA
N10-formyl-tetrahydrofolate biosynthesis,1CMET2-PWY,0.086162205,5.25E-05,NA,NA,NA,NA
ethylmalonyl-CoA pathway,PWY-5741,0.102964413,0.001255932,0.401637168,0.011352415,NA,NA
superpathway of tetrahydrofolate biosynthesis and salvage,FOLSYN-PWY,0.13519825,1.00E-07,0.199986432,0.004826192,0.913337185,5.47E-12
glycolysis II (from fructose 6-phosphate),PWY-5484,0.140373008,3.27E-05,NA,NA,NA,NA
TCA cycle VIII (helicobacter),REDCITCYC,0.153746296,0.003590398,NA,NA,NA,NA
superpathway of glyoxylate bypass and TCA,TCA-GLYOX-BYPASS,0.180758454,1.71E-06,-0.200182055,0.001653935,-0.318857705,0.026553768
superpathway of ubiquinol-8 biosynthesis (prokaryotic),UBISYN-PWY,0.182153765,2.46E-08,-0.133717778,0.030462863,-0.322433523,0.00901692
superpathway of tetrahydrofolate biosynthesis,PWY-6612,0.183862502,3.07E-10,0.315496773,0.000232548,1.052969455,1.09E-10
NAD biosynthesis I (from aspartate),PYRIDNUCSYN-PWY,0.236026253,1.92E-08,0.163711741,0.03451119,NA,NA
L-histidine degradation II,PWY-5028,0.237266438,0.018780749,1.001496481,1.82E-05,0.526695607,0.03952655
"adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I",PWY-5509,0.251689595,0.04679974,2.478530639,3.74E-49,4.115640303,4.64E-60
adenosylcobalamin salvage from cobinamide II,PWY-6269,0.260256578,0.042402205,2.502126853,3.74E-49,8.066320082,5.05E-89
8-amino-7-oxononanoate biosynthesis I,PWY-6519,0.263760158,1.87E-10,NA,NA,NA,NA
superpathway of L-methionine biosynthesis (by sulfhydrylation),PWY-5345,0.266803619,3.35E-14,NA,NA,NA,NA
L-methionine biosynthesis III,HSERMETANA-PWY,0.289526837,3.44E-12,NA,NA,NA,NA
L-histidine degradation I,HISDEG-PWY,0.317156813,0.003917956,NA,NA,NA,NA
tetrapyrrole biosynthesis I (from glutamate),PWY-5188,0.377265221,2.04E-07,NA,NA,NA,NA
biotin biosynthesis I,BIOTIN-BIOSYNTHESIS-PWY,0.410207267,1.11E-07,NA,NA,NA,NA
superpathway of polyamine biosynthesis II,POLYAMINSYN3-PWY,0.427881029,0.001226846,NA,NA,1.022318815,3.16E-06
preQ0 biosynthesis,PWY-6703,0.434415663,4.03E-06,NA,NA,-0.387305949,0.046645218
thiamin salvage II,PWY-6897,0.508890745,4.34E-20,NA,NA,NA,NA
ADP-L-glycero-&beta;-D-manno-heptose biosynthesis,PWY0-1241,0.520206767,6.57E-05,-0.671165151,0.00943682,NA,NA
sucrose degradation IV (sucrose phosphorylase),PWY-5384,0.558207181,0.002054771,0.849310578,0.013689196,2.198556395,8.14E-34
aromatic biogenic amine degradation (bacteria),PWY-7431,0.576951909,0.009219659,NA,NA,-0.502543909,0.040297371
superpathay of heme biosynthesis from glutamate,PWY-5918,0.58393703,1.46E-05,NA,NA,NA,NA
superpathway of taurine degradation,PWY-1541,0.741986061,0.002193253,-0.756540202,0.000344748,-0.784098068,0.0028603
superpathway of pyrimidine ribonucleosides salvage,PWY-7196,0.757786785,4.60E-21,0.354386463,2.41E-13,NA,NA
tRNA charging,TRNA-CHARGING-PWY,0.79655556,1.41E-21,NA,NA,NA,NA
superpathway of glucose and xylose degradation,PWY-6901,0.83925031,1.62E-19,1.408114764,3.33E-15,2.899869849,2.61E-09
2-methylcitrate cycle II,PWY-5747,1.139894862,1.29E-05,NA,NA,NA,NA
2-methylcitrate cycle I,PWY0-42,1.262663677,0.001327096,NA,NA,NA,NA
heterolactic fermentation,P122-PWY,1.303975367,0.000119904,2.267369603,7.99E-10,2.731955347,7.15E-07
"superpathway of histidine, purine, and pyrimidine biosynthesis",PRPP-PWY,1.558978965,3.74E-09,0.745597864,3.92E-16,8.426526036,4.10E-08
superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,PWY0-845,1.593258243,1.66E-22,NA,NA,-0.464061852,0.029093555
superpathway of thiamin diphosphate biosynthesis I,THISYN-PWY,1.630074594,1.36E-27,1.373818948,5.29E-08,5.469226101,5.61E-24
superpathway of hexitol degradation (bacteria),HEXITOLDEGSUPER-PWY,1.637545183,4.03E-06,8.781832628,4.33E-23,4.436952135,0.001938087
reductive TCA cycle I,P23-PWY,1.661014519,2.47E-06,1.725533056,0.000767182,NA,NA
pyrimidine deoxyribonucleotides de novo biosynthesis II,PWY-7187,1.662130407,1.69E-07,0.766949147,1.17E-11,8.771403803,1.57E-21
superpathway of purine nucleotides de novo biosynthesis II,DENOVOPURINE2-PWY,1.67857883,4.50E-08,0.815316451,1.32E-14,9.00654,8.46E-23
mixed acid fermentation,FERMENTATION-PWY,1.708246852,1.20E-22,0.535696065,0.035824806,5.63562786,1.67E-45
galactose degradation I (Leloir pathway),PWY-6317,1.719925743,1.98E-10,1.661606655,1.07E-08,6.86987144,4.64E-60
superpathway of pyrimidine deoxyribonucleosides degradation,PWY0-1298,1.724490178,0.000153191,NA,NA,NA,NA
superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,PWY-7328,1.768013965,2.09E-09,NA,NA,-1.428201256,0.011047051
"arginine, ornithine and proline interconversion",ARGORNPROST-PWY,1.783155478,0.000208372,3.235828073,1.80E-15,4.139543672,1.22E-50
acetylene degradation,P161-PWY,1.798397927,0.000193849,3.171417786,1.99E-14,4.703198303,1.82E-78
superpathway of L-aspartate and L-asparagine biosynthesis,ASPASN-PWY,1.828780122,8.80E-05,11.85560254,3.25E-21,9.845425646,1.11E-37
fucose degradation,FUCCAT-PWY,1.878963195,0.000104511,11.50121927,4.41E-20,9.686436467,1.91E-28
superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),PWY-5910,1.899306754,4.56E-05,10.78409724,4.03E-33,9.146706567,2.37E-07
photorespiration,PWY-181,1.907389993,1.50E-14,NA,NA,NA,NA
mevalonate pathway I,PWY-922,1.940675962,0.000104511,10.96425555,1.45E-23,9.341136654,4.66E-46
isoprene biosynthesis II (engineered),PWY-7391,1.941717625,0.000119904,7.777879989,1.24E-10,5.208513207,0.000402274
glycine betaine degradation I,PWY-3661,1.944552195,1.80E-12,0.442366833,0.00943682,NA,NA
glucose and glucose-1-phosphate degradation,GLUCOSE1PMETAB-PWY,1.955945686,5.84E-07,NA,NA,NA,NA
peptidoglycan maturation (meso-diaminopimelate containing),PWY0-1586,1.975227811,3.76E-07,NA,NA,NA,NA
"hexitol fermentation to lactate, formate, ethanol and acetate",P461-PWY,1.992933835,5.46E-05,11.12458237,1.03E-17,9.794334691,7.27E-37
superpathway of L-alanine biosynthesis,PWY0-1061,2.086151372,2.48E-18,2.239271063,2.30E-11,4.479119605,1.21E-82
superpathway of thiamin diphosphate biosynthesis II,PWY-6895,2.244509455,5.17E-19,-2.498861415,4.32E-12,NA,NA
pyridoxal 5'-phosphate biosynthesis I,PYRIDOXSYN-PWY,2.261657204,2.83E-19,NA,NA,NA,NA
anhydromuropeptides recycling,PWY0-1261,2.285920945,2.77E-20,0.132300985,0.014215338,NA,NA
thiazole biosynthesis I (E. coli),PWY-6892,2.31566343,7.83E-16,2.283054384,1.20E-11,6.778817915,1.02E-52
L-arginine degradation II (AST pathway),AST-PWY,2.550974363,4.94E-11,NA,NA,NA,NA
allantoin degradation to glyoxylate III,PWY-5705,2.738473127,4.09E-10,-2.737882159,8.00E-09,NA,NA
thiazole biosynthesis II (Bacillus),PWY-6891,2.798601097,4.00E-11,-2.721871276,3.57E-09,NA,NA
NAD salvage pathway II,NAD-BIOSYNTHESIS-II,8.525029207,3.16E-09,9.649303794,2.80E-08,7.443161324,5.39E-05
fatty acid &beta;-oxidation I,FAO-PWY,NA,NA,-0.439852626,0.00339324,NA,NA
fatty acid salvage,PWY-7094,NA,NA,-0.427886582,0.000767182,NA,NA
superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis,PWY-7323,NA,NA,-0.264847063,0.00462942,NA,NA
sulfate reduction I (assimilatory),SO4ASSIM-PWY,NA,NA,-0.201355998,1.11E-07,NA,NA
superpathway of sulfate assimilation and cysteine biosynthesis,SULFATE-CYS-PWY,NA,NA,-0.102821634,2.75E-05,NA,NA
methylerythritol phosphate pathway I,NONMEVIPP-PWY,NA,NA,-0.101749097,9.60E-05,-0.081858264,0.000802975
methylerythritol phosphate pathway II,PWY-7560,NA,NA,-0.101749097,9.60E-05,-0.081858264,0.000802975
