Round ,Day ,Algae,Treatment,Replicate,Chl,OD750,DOC,TDN,FvFm,pH,PO4,NH4,Si
0,0,C323,F,A,3.88,0.043,10.2,381.5,0.501,7.796,99,369,1061
0,0,C323,F,B,2.52,0.045,4.8,369.7,0.5,7.72,101,384,1056
0,0,C323,F,C,3.21,0.044,16.8,366,0.45,7.719,92,398,1082
0,0,C323,R,D,3.36,0.044,3.9,377.6,0.492,7.849,102,403,1030
0,0,C323,R,E,3.46,0.046,0,372,0.508,7.73,96,393,1082
0,0,C323,R,F,3.43,0.043,10.5,363.6,0.48,7.723,97,377,1049
0,1,C323,F,A,5.56,0.045,NA,NA,NA,8.078,NA,NA,NA
0,1,C323,F,B,7.44,0.047,NA,NA,NA,8.263,NA,NA,NA
0,1,C323,F,C,5.21,0.046,NA,NA,NA,8.259,NA,NA,NA
0,1,C323,R,D,12,0.047,NA,NA,NA,8.213,NA,NA,NA
0,1,C323,R,E,5.32,0.047,NA,NA,NA,8.293,NA,NA,NA
0,1,C323,R,F,5.1,0.046,NA,NA,NA,8.373,NA,NA,NA
0,2,C323,F,A,11.3,0.048,NA,NA,NA,8.372,NA,NA,NA
0,2,C323,F,B,13,0.05,NA,NA,NA,8.389,NA,NA,NA
0,2,C323,F,C,8.65,0.048,NA,NA,NA,8.318,NA,NA,NA
0,2,C323,R,D,12,0.049,NA,NA,NA,8.306,NA,NA,NA
0,2,C323,R,E,13.1,0.05,NA,NA,NA,8.366,NA,NA,NA
0,2,C323,R,F,15.1,0.05,NA,NA,NA,8.403,NA,NA,NA
0,3,C323,F,A,28.5,0.054,NA,NA,NA,8.372,NA,NA,NA
0,3,C323,F,B,27.2,0.056,NA,NA,NA,8.469,NA,NA,NA
0,3,C323,F,C,26.1,0.053,NA,NA,NA,8.419,NA,NA,NA
0,3,C323,R,D,37.7,0.06,NA,NA,NA,8.372,NA,NA,NA
0,3,C323,R,E,34.3,0.055,NA,NA,NA,8.412,NA,NA,NA
0,3,C323,R,F,34.4,0.057,NA,NA,NA,8.369,NA,NA,NA
0,4,C323,F,A,63.4,0.069,NA,NA,NA,8.488,NA,NA,NA
0,4,C323,F,B,63.5,0.063,NA,NA,NA,8.515,NA,NA,NA
0,4,C323,F,C,66.1,0.068,NA,NA,NA,8.426,NA,NA,NA
