Round,Day,Date,Tstart,Tend,Chl_medium,OD750_medium
0,0,7/5/18,10:12,11:50,0.256,0.042
0,1,7/6/18,9:55,10:58,0.263,0.042
0,2,7/7/18,9:57,10:48,0.285,0.044
0,3,7/8/18,10:05,11:04,0.259,0.043
0,4,7/9/18,9:54,10:44,0.248,0.042
0,5,7/10/18,9:53,10:41,0.249,0.044
0,6,7/11/18,9:57,11:25,0.236,0.042
1,0,7/12/18,9:59,11:24,0.245,0.042
1,1,7/13/18,9:48,10:36,0.253,0.043
1,2,7/14/18,10:07,10:54,0.275,0.043
1,3,7/15/18,10:00,10:52,0.247,0.042
1,4,7/16/18,9:47,10:40,0.273,0.044
1,5,7/17/18,9:55,11:30,0.269,0.046
2,0,7/18/18,9:57,11:18,0.3,0.043
2,1,7/19/18,9:52,10:39,0.274,0.042
2,2,7/20/18,9:59,10:46,0.288,0.042
2,3,7/21/18,10:00,10:45,0.291,0.043
2,4,7/22/18,10:12,10:57,0.313,0.043
2,5,7/23/18,10:02,12:00,0.315,0.044
2,6,7/24/18,10:01,11:42,0.32,0.045
3,0,7/25/18,10:00,13:28,0.324,0.042
3,1,7/26/18,10:00,11:05,NA,0.043
3,2,7/27/18,9:55,10:51,NA,0.042
3,3,7/28/18,10:12,10:58,NA,0.043
3,4,7/29/18,10:28,14:12,0.257,0.043
3,5,7/30/18,9:53,10:47,NA,0.043
3,6,7/31/18,9:51,10:53,NA,0.042
3,7,8/1/18,9:49,10:41,NA,0.043
3,8,8/2/18,9:54,13:17,0.243,0.044
