# Constructed from biom file																						
#OTU ID	SL1	SL2	SL3	SL4	SL5	SL6	SL7	SL8	SL9	SL10	SL11	SL12	SL13	SL14	SL15	SL16	SL17	SL18	SL19	SL20	SL21	taxonomy
OTU_2	1411.333333	1850.333333	1825.666667	1765.333333	685	661	645.6666667	1538	3214.666667	3912	4198.333333	2704	3167.333333	1465.333333	4804.333333	6482	6185	6505	6306.666667	7555.666667	5193.333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
OTU_13	117	104.6666667	95.66666667	93.66666667	182.6666667	149	133.3333333	1026	1394.333333	1070.333333	1029.333333	132	188.3333333	218.3333333	155.6666667	78.33333333	106	101.3333333	34.33333333	24.66666667	39.66666667	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__
OTU_12	0	0	0	0	0	0	0	739	1638	1480	1223	1923	2023	1355	0	0	1.333333333	0.333333333	0.333333333	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae
OTU_11	0.666666667	1	1.666666667	0	0	0.666666667	0	4429	1193.666667	1535	938	1203	826.3333333	1709	0.666666667	0.333333333	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__; s__
OTU_7	272	372.3333333	394.3333333	283.3333333	2480	2852.333333	1242.333333	973	898	636.6666667	464.3333333	94	76.33333333	136	90.66666667	12.66666667	11	31.33333333	21.33333333	12.66666667	85.33333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__
OTU_3	1372	603.3333333	928.6666667	827.6666667	1012.666667	967.3333333	1082.333333	394	1261.333333	1080.333333	2054	2003	2126	2046	795.3333333	1017.666667	1076	1393.333333	904.3333333	828	776.3333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Hyphomonadaceae; g__Oceanicaulis; s__
OTU_17	71.33333333	76	60.33333333	64.66666667	93	77.33333333	93	368	436	536.3333333	427.6666667	188.3333333	159	344.6666667	84.66666667	153.6666667	138.3333333	168.3333333	152	193.3333333	150.3333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae; g__; s__
OTU_22	76	78	78.66666667	71.66666667	30	103	35	202	115.6666667	99	86.33333333	12.66666667	15	32.66666667	0.666666667	2	0	0.333333333	0	1	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__Methylophaga; s__
OTU_19	21.33333333	21.33333333	35.66666667	20.66666667	19.33333333	35.66666667	24.33333333	381	361.6666667	185.3333333	151.6666667	182	97.33333333	271.6666667	957.3333333	93.33333333	79	47	34.66666667	31	32.33333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Marinobacter; s__
OTU_4	3381.666667	2569.666667	2458.333333	2346	2387	1761.666667	2246	246	137.3333333	103.6666667	94.66666667	66.33333333	51.33333333	76.33333333	300.3333333	54	66	52.66666667	64.33333333	28	57	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Anaerospora; s__
OTU_26	0	0.666666667	0	0	0	0	0	0	4	0.666666667	3.666666667	4.666666667	5.666666667	2.333333333	78	110.3333333	79.33333333	102.3333333	27.66666667	12.33333333	33.66666667	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
OTU_15	0	0	1	0	0	0	0.666666667	104	109.3333333	176	126.3333333	1440.666667	1233.333333	2042	0	0	0.333333333	0.333333333	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobaca; s__
OTU_9	1302.333333	1634	1664.666667	1697.333333	970.6666667	540.3333333	1130.333333	247	146.6666667	105	106	156.3333333	69.66666667	113.3333333	61	24	41	33.66666667	10.66666667	6.333333333	15.66666667	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Phyllobacteriaceae
OTU_36	0	0	0	0	0	0	0	6	0	2.333333333	5.666666667	0.333333333	0.333333333	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Parvibaculum; s__
