# Constructed from biom file																						
#OTU ID	SL1	SL2	SL3	SL4	SL5	SL6	SL7	SL8	SL9	SL10	SL11	SL12	SL13	SL14	SL15	SL16	SL17	SL18	SL19	SL20	SL21	taxonomy
OTU_2	0.128326362	0.168242711	0.165999879	0.160514033	0.062284052	0.060101837	0.058707644	0.139843608	0.292295569	0.355701037	0.381736073	0.245862884	0.287991756	0.133236346	0.436837001	0.589379887	0.562374977	0.591471177	0.573437595	0.687003698	0.472207068	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
OTU_13	0.010638298	0.009516882	0.008698551	0.0085167	0.01660908	0.013547918	0.012123416	0.093289689	0.126780627	0.097320725	0.093592774	0.012002182	0.017124326	0.019852094	0.014154089	0.007122507	0.009638116	0.009213796	0.00312178	0.002242832	0.003606716	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__
OTU_12	0	0	0	0	0	0	0	0.067194035	0.14893617	0.134569922	0.111202037	0.174849973	0.183942535	0.123204219	0	0	0.000121234	3.03085E-05	3.03085E-05	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae
OTU_11	6.06171E-05	9.09256E-05	0.000151543	0	0	6.06171E-05	0	0.402709584	0.108534885	0.139570831	0.085288234	0.109383524	0.075134873	0.155391889	6.06171E-05	3.03085E-05	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__; s__
OTU_7	0.024731769	0.03385464	0.035855004	0.02576226	0.225495545	0.259350185	0.112959932	0.088470631	0.081651209	0.057889313	0.042219798	0.008547009	0.006940656	0.012365885	0.008243923	0.001151725	0.001000182	0.002849003	0.001939747	0.001151725	0.007758986	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__
OTU_3	0.124749955	0.054858459	0.084439595	0.075256107	0.092077347	0.087955386	0.098411832	0.035824695	0.114687519	0.098229981	0.186761229	0.182124023	0.193307874	0.186033824	0.072316179	0.092531976	0.09783597	0.126689701	0.082227072	0.075286416	0.070588592	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Hyphomonadaceae; g__Oceanicaulis; s__
OTU_17	0.006486028	0.006910347	0.005485846	0.005879857	0.008456083	0.007031581	0.008456083	0.033460629	0.039643572	0.048766442	0.038885858	0.017124326	0.014457174	0.031339031	0.007698369	0.013972237	0.012578044	0.015305813	0.013820695	0.017578954	0.013669152	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae; g__; s__
OTU_22	0.006910347	0.007092199	0.007152816	0.006516336	0.002727769	0.009365339	0.003182397	0.018366976	0.010517064	0.009001637	0.007849912	0.001151725	0.001363884	0.002970237	6.06171E-05	0.000181851	0	3.03085E-05	0	9.09256E-05	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__Methylophaga; s__
OTU_19	0.001939747	0.001939747	0.003243014	0.00187913	0.001757895	0.003243014	0.002212523	0.034642662	0.032884767	0.016851549	0.013790386	0.016548463	0.008850094	0.024701461	0.08704613	0.008486391	0.007183124	0.004273504	0.003152088	0.002818694	0.002939928	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Marinobacter; s__
OTU_4	0.307480148	0.233648542	0.223525489	0.213311511	0.217039462	0.160180639	0.204218949	0.022367703	0.012487119	0.009425956	0.008607626	0.0060314	0.004667515	0.006940656	0.027307995	0.004909984	0.006001091	0.004788749	0.005849548	0.002545917	0.005182761	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Anaerospora; s__
