# Constructed from biom file																						
#OTU ID	SL1	SL2	SL3	SL4	SL5	SL6	SL7	SL8	SL9	SL10	SL11	SL12	SL13	SL14	SL15	SL16	SL17	SL18	SL19	SL20	SL21	taxonomy
OTU_2	0.129124733	0.169423758	0.167349059	0.161626026	0.063032943	0.0620269	0.060185185	0.139843608	0.292295569	0.355722599	0.381736073	0.260041673	0.312617207	0.144915115	0.436850241	0.589379887	0.562374977	0.591578756	0.609457544	0.730863481	0.509833437	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
OTU_13	0.010704483	0.009583689	0.00876925	0.008575701	0.016808785	0.013981858	0.012428536	0.093289689	0.126780627	0.097326625	0.093592774	0.012694342	0.018588584	0.02159222	0.014154518	0.007122507	0.009638116	0.009215472	0.003317871	0.002386019	0.003894106	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__
OTU_12	0	0	0	0	0	0	0	0.067194035	0.14893617	0.13457808	0.111202037	0.184933483	0.199670999	0.134003626	0	0	0.000121234	3.03141E-05	3.22123E-05	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae
OTU_11	6.09942E-05	9.15639E-05	0.000152774	0	0	6.25586E-05	0	0.402709584	0.108534885	0.139579292	0.085288234	0.115691617	0.081559467	0.169012692	6.06189E-05	3.03085E-05	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__; s__
OTU_7	0.024885636	0.034092296	0.036146419	0.025940733	0.228206858	0.267657179	0.115802883	0.088470631	0.081651209	0.057892823	0.042219798	0.00903991	0.007534134	0.01344981	0.008244173	0.001151725	0.001000182	0.002849521	0.00206159	0.001225253	0.008377237	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__
OTU_3	0.125526075	0.05524356	0.085125886	0.075777459	0.093184467	0.090772599	0.10088864	0.035824695	0.114687519	0.098235936	0.186761229	0.192627024	0.209837144	0.202340531	0.072318371	0.092531976	0.09783597	0.126712744	0.087392089	0.080092861	0.076213227	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Hyphomonadaceae; g__Oceanicaulis; s__
OTU_17	0.00652638	0.006958857	0.005530433	0.005920591	0.008557757	0.007256803	0.008668904	0.033460629	0.039643572	0.048769399	0.038885858	0.018111877	0.015693371	0.034086039	0.007698603	0.013972237	0.012578044	0.015308597	0.014688829	0.018701232	0.014758336	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae; g__; s__
OTU_22	0.006953339	0.007141985	0.007210951	0.00656148	0.002760567	0.009665311	0.003262491	0.018366976	0.010517064	0.009002182	0.007849912	0.001218144	0.001480507	0.003230592	6.06189E-05	0.000181851	0	3.03141E-05	0	9.67305E-05	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__Methylophaga; s__
OTU_19	0.001951815	0.001953363	0.003269372	0.001892148	0.001779032	0.003346888	0.002268208	0.034642662	0.032884767	0.01685257	0.013790386	0.017502805	0.009606843	0.026866656	0.087048768	0.008486391	0.007183124	0.004274282	0.003350084	0.002998646	0.003174188	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Marinobacter; s__
OTU_4	0.309393108	0.235288732	0.225342215	0.21478927	0.219649101	0.165311229	0.209358688	0.022367703	0.012487119	0.009426528	0.008607626	0.006379227	0.005066623	0.007549036	0.027308823	0.004909984	0.006001091	0.00478962	0.006216982	0.002708454	0.005595733	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Anaerospora; s__
OTU_26	0	6.10426E-05	0	0	0	0	0	0	0.000363702	6.06208E-05	0.000333394	0.00044879	0.000559303	0.000230757	0.007092414	0.010032127	0.007213433	0.009306414	0.002673625	0.00119301	0.003305082	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
OTU_15	0	0	9.16646E-05	0	0	0	6.21427E-05	0.009456265	0.009941201	0.01600388	0.011486937	0.138547844	0.121730548	0.201944948	0	0	3.03085E-05	3.03141E-05	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobaca; s__
OTU_9	0.119152181	0.149615432	0.152591054	0.15540025	0.089319674	0.050703785	0.105362913	0.022458629	0.013335758	0.009547769	0.009638116	0.015034461	0.006876131	0.011208175	0.005546631	0.002182215	0.003727951	0.003061719	0.001030795	0.000612627	0.001538008	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Phyllobacteriaceae
OTU_36	0	0	0	0	0	0	0	0.000545554	0	0.000212173	0.000515245	3.20564E-05	3.29001E-05	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Parvibaculum; s__
OTU_14	0.073437023	0.1329508	0.098722806	0.102816858	0.064934667	0.090647482	0.08209048	0.000727405	0.000333394	0.000454656	0.001091107	0.000288508	0.000197401	9.88957E-05	0.046373473	0.012972056	0.01433594	0.012731903	0.02377271	0.022280261	0.029778461	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Marivita; s__
OTU_24	0.000548948	0.00070199	0.001069421	0.001007111	0.000644132	0.000875821	0.000776783	0.024458993	0.004121962	0.002879486	0.003697642	0.008879628	0.001941109	0.005834844	9.09284E-05	0	6.06171E-05	9.09422E-05	3.22123E-05	0	6.54472E-05	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
OTU_29	0	0	0	6.1037E-05	0	0	0	0.001363884	0.001606353	0.002121726	0.001970055	0.004519955	0.004079618	0.004746992	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
OTU_33	0	0	0	0	0	0	0	0.000363702	0.000636479	0.000545587	0.000788022	0.000416733	0.000625103	0.001120818	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Hyphomonadaceae; g__Oceanicaulis; s__
OTU_32	0	0	0	0	0	0	0	0.002636843	0.000484937	0.000181862	0.000242468	0	0.000230301	0.000461513	0.000333404	0	6.06171E-05	3.03141E-05	0	0	0.000130894	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Limnobacter; s__
OTU_39	0	0	0	0	0	0	0	0.000545554	0.000484937	0.000363725	0.000121234	9.61693E-05	0	6.59304E-05	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Glaciecola
OTU_5	0	0	0	0	0	6.25586E-05	0	9.09256E-05	3.03085E-05	6.06208E-05	0.000121234	0	0	0.000362617	0.264056012	0.115839243	0.139207129	0.117254759	0.158484731	0.09195847	0.212343336	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__; s__
OTU_10	0	0	0	0	0	0	0	0.000181851	6.06171E-05	0.000121242	0	0.005417535	0.001052805	0.001417505	0.022489619	0.14084379	0.138540341	0.102309931	0.085878108	0.044399304	0.127327465	k__Bacteria; p__Bacteroidetes; c__[Rhodothermi]; o__[Rhodothermales]; f__[Balneolaceae]; g__KSA1; s__
OTU_18	0.045318695	0.026309364	0.025482767	0.034424879	0.051898657	0.05229903	0.060744469	0.000363702	0.000121234	6.06208E-05	6.06171E-05	0.000256451	0.000131601	3.29652E-05	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Hyphomonadaceae; g__; s__
OTU_25	0	0	0	0	0.003895467	0.00137629	0.002951777	0	0	0	0	0.00689213	0.000855404	0.015131037	0	0	0	0	0.001417343	0.000225705	0.00301057	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Saccharospirillaceae; g__ML110J-20; s__
OTU_34	0	0	0	0	0	0	0	0.000454628	0	0	0	0.000865523	0	9.88957E-05	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__
OTU_45	0	0	0	0	0	0	0	0	0	0	0	6.41128E-05	0	6.59304E-05	0	0.000151543	0	0.000121256	0	0	0.000196342	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Pelagibacteraceae; g__; s__
OTU_47	0	0	0	0	0	0	0	9.09256E-05	0	0	0	0	3.29001E-05	0.000131861	0	0	0	0	0	6.4487E-05	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
OTU_40	6.09942E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000121238	0.000121234	6.06171E-05	0.000121256	9.6637E-05	0	3.27236E-05	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
