pathway	SL1	SL2	SL3	SL4	SL5	SL6	SL7	SL8	SL9	SL10	SL11	SL12	SL13	SL14	SL15	SL16	SL17	SL18	SL19	SL20	SL21
1CMET2-PWY	11084.9156	10734.7257	10774.332	10773.2345	9834.4682	9322.1743	10325.9331	10484.0989	9330.953	9369.8044	9527.3363	9814.8478	9255.5776	10565.5499	9418.8235	8671.3209	9018.1114	8667.16	8074.0589	6262.3558	8979.8655
ANAEROFRUCAT-PWY	5418.6209	5640.6883	5842.1846	5956.7671	5143.8628	4497.1742	5275.2473	3376.6869	2679.2906	2057.3498	1806.856	3284.7641	3753.282	3919.9555	2658.6972	4242.0826	4375.4587	4097.1945	3619.2863	2631.2854	4509.8173
ANAGLYCOLYSIS-PWY	9468.9877	10408.8076	10318.1495	10451.939	8135.9214	7912.1049	9260.2666	9390.0478	8048.0961	8723.7695	8408.0742	9284.1876	9217.8484	9604.8235	10227.4621	10766.9215	10757.921	10526.2469	11027.4958	10916.3219	11135.0269
ARG+POLYAMINE-SYN	3666.9642	5460.8524	4998.6733	5235.0396	4203.7061	4924.0551	5160.0699	1101.5555	1670.4018	1420.3731	1206.7779	2043.5787	1971.5012	1952.2298	2061.9791	475.0025	495.5273	417.7427	886.4153	803.3301	1103.8533
ARGORNPROST-PWY	133.3707	157.1965	182.9832	147.1899	259.5824	649.8403	525.9328	250.3574	238.3201	125.3099	100.5356	1255.1577	1606.7964	1703.4778	778.181	121.2446	102.9662	69.3468	1656.4991	1481.5587	1981.3139
ARGSYN-PWY	10462.7865	10820.3499	10626.428	10715.1813	8939.2177	8764.9933	9853.6191	7671.533	8395.8209	8750.4356	8913.4352	8826.546	9034.8758	9013.2384	9167.5532	9803.8733	9642.7577	9819.3149	10314.2605	10797.96	9899.5169
ARGSYNBSUB-PWY	10351.9124	10838.7417	10585.8863	10691.7587	8892.525	8692.3446	9768.0396	6933.6895	8121.4903	8461.088	8559.9182	8328.8436	8576.8766	8378.1492	8583.5214	9291.3799	9085.1234	9321.6265	9775.0107	10486.6757	9166.8507
ARO-PWY	11071.7055	11247.7074	11194.6097	11289.026	9471.111	9101.9274	10429.0161	8668.2396	8886.1216	9208.4875	9633.2084	9408.581	9419.3202	9611.9577	9950.5889	10746.0957	10712.209	10754.5433	10686.8213	10790.8825	10517.069
ASPASN-PWY	122.9368	155.7766	176.5817	153.6883	284.0444	677.1483	519.0207	0.0	0.0	1.3398	0.0	1081.6426	1489.0079	1545.3874	0.66	0.0	0.0	3.9988	1157.9599	1101.4776	1391.0591
AST-PWY	147.1319	183.1283	206.633	148.524	1006.7278	1073.2668	601.6406	579.3755	627.2751	420.0809	334.6689	461.3498	160.8096	618.8616	892.3266	1278.555	1305.5085	1378.9552	1019.3099	705.1108	1053.3429
BIOTIN-BIOSYNTHESIS-PWY	2989.5856	4217.1305	4316.2184	4540.5121	4589.0727	5196.2867	5135.3366	3512.7748	2414.4562	1950.3685	1604.3182	1550.9952	778.9952	2022.1275	2783.0118	3392.3859	3764.4401	3146.1256	3086.1847	1817.0483	4055.3528
BRANCHED-CHAIN-AA-SYN-PWY	20573.5033	20872.5417	20683.106	20655.7349	16746.5134	15885.691	18306.5887	15641.7607	16614.7716	17448.5333	18551.7691	18037.3219	18317.932	17683.4592	18976.4994	20592.5929	20455.5337	20871.3082	20653.9151	21346.1813	19785.1417
CALVIN-PWY	11789.3602	12057.1912	11907.1275	11942.4703	9960.3871	9544.1766	10815.508	10669.0481	9836.2407	10280.1679	10566.9981	10359.4529	10285.9297	10569.3714	11435.4235	11823.8698	11833.5205	11834.7748	11850.8437	11842.6503	11738.9221
