pathway	SL1	SL2	SL3	SL4	SL5	SL6	SL7	SL8	SL9	SL10	SL11	SL12	SL13	SL14	SL15	SL16	SL17	SL18	SL19	SL20	SL21
1CMET2-PWY	11052.0733	10699.1298	10733.121	10738.9031	9756.4337	9122.5648	10170.4365	10484.0989	9330.953	9369.5118	9527.3363	9525.3396	8886.036	10065.8089	9418.704	8671.3209	9018.1114	8666.6345	7923.9697	6177.4219	8742.4145
ANAEROFRUCAT-PWY	5306.2558	5571.6701	5697.6053	5839.6965	5071.2232	4334.6336	5038.2042	3376.6869	2679.2906	2057.2983	1806.856	1945.0352	903.7547	2172.0676	2658.5325	4242.0826	4375.4587	4096.0268	3261.007	2160.6773	3549.2273
ANAGLYCOLYSIS-PWY	9352.5366	10280.8148	10178.2152	10336.2993	7893.1166	7279.2825	8779.1874	9390.0478	8048.0961	8722.6385	8408.0742	8387.4888	7941.669	8280.1571	10226.9334	10766.9215	10757.921	10522.886	10166.8912	10085.1857	10108.3786
ARG+POLYAMINE-SYN	3644.8975	5423.7815	4960.0067	5203.1984	4146.2342	4755.8149	5034.0679	1101.5555	1670.4018	1420.0294	1206.7779	1796.9812	1655.3698	1671.1308	2061.8332	475.0025	495.5273	416.3095	696.4113	628.1795	875.7543
ARGORNPROST-PWY	14.2104	14.2116	23.7555	13.7719	12.8703	23.7442	16.2059	250.3574	238.3201	123.9888	100.5356	158.1767	73.6967	191.6226	777.5345	121.2446	102.9662	61.6278	45.5389	40.3535	42.6485
ARGSYN-PWY	10380.2608	10723.6358	10517.7297	10624.7196	8766.394	8320.1399	9497.406	7671.533	8395.8209	8749.4344	8913.4352	7915.3752	7757.8663	7670.2308	9167.0203	9803.8733	9642.7577	9816.0869	9338.5516	9912.2763	8653.1419
ARGSYNBSUB-PWY	10273.9307	10746.5452	10482.5763	10605.6227	8728.7997	8269.5773	9429.5159	6933.6895	8121.4903	8460.1647	8559.9182	7497.0192	7402.8736	7149.4075	8583.0458	9291.3799	9085.1234	9318.7431	8891.1968	9665.5739	8059.1634
ARO-PWY	11010.3331	11174.6395	11112.5901	11220.1719	9344.645	8772.0646	10164.3232	8668.2396	8886.1216	9207.8154	9633.2084	8814.6303	8567.5911	8740.7216	9950.2557	10746.0957	10712.209	10752.5392	10049.0098	10167.6308	9739.754
ASPASN-PWY	4.9966	17.5831	21.9045	23.8856	43.4174	82.7396	29.2257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AST-PWY	147.1319	183.1283	206.633	148.524	1006.7278	1073.2668	601.6406	579.3755	627.2751	420.0809	334.6689	461.3498	160.8096	618.8616	892.3266	1278.555	1305.5085	1378.9552	1019.3099	705.1108	1053.3429
BIOTIN-BIOSYNTHESIS-PWY	2985.8076	4205.5503	4305.0313	4530.8534	4573.9767	5150.1955	5104.3302	3512.7748	2414.4562	1950.3568	1604.3182	1542.7819	775.7467	2006.8237	2782.9991	3392.3859	3764.4401	3145.9476	3034.7237	1787.9868	3969.2533
BRANCHED-CHAIN-AA-SYN-PWY	20469.5848	20746.8204	20543.7431	20539.3986	16527.0171	15308.4262	17847.1491	15641.7607	16614.7716	17447.3345	18551.7691	16985.3888	16807.1875	16151.6266	18975.9109	20592.5929	20455.5337	20867.7333	19530.1214	20256.3419	18433.7221
CALVIN-PWY	11721.171	11976.6301	11818.7129	11869.0016	9810.6583	9139.3637	10508.0213	10669.0481	9836.2407	10279.4115	10566.9981	9700.8353	9357.9926	9602.0495	11435.0691	11823.8698	11833.5205	11832.5843	11188.594	11207.5388	10944.4954
CATECHOL-ORTHO-CLEAVAGE-PWY	624.977	303.7377	426.9376	514.7168	124.1515	21.8896	503.6195	56.348	10.6182	3.9941	5.3277	0.0	4.6562	9.3265	7.3142	0.0	1.3377	0.6594	0.0	0.0	2.6542
CHLOROPHYLL-SYN	948.6991	501.2973	689.096	819.2231	209.0558	37.8743	775.7319	6.9742	2.3427	4.6456	0.0	190.4952	37.0706	49.7645	180.5919	79.5042	133.1694	112.9983	38.9333	21.6854	53.1679
COA-PWY	10519.8358	10521.1569	10443.506	10529.9348	8816.22	8301.0064	9562.5114	9472.93	8946.49	9377.77	9710.11	8919.8	8657.02	8918.42	10286.91	10925.3925	10935.64	10938.8575	10307.61	10307.19	10096.2625
COBALSYN-PWY	8228.9279	9519.4002	9028.8244	9072.0851	6650.3883	6265.677	7272.0742	4077.8617	5944.0169	6240.6085	6353.062	5574.0625	5677.6189	4848.8516	6128.5342	7137.8662	6875.1265	7183.5056	6939.8961	8117.1236	5883.4654
COLANSYN-PWY	6216.1626	7401.5868	7429.5135	7659.6761	5683.4882	5502.3728	6823.6789	2943.5748	1770.0106	1296.6573	1054.0145	1877.1097	781.3633	1302.1049	1684.4126	5177.8012	5086.5706	4302.9022	3391.7708	2020.0402	4307.7602
COMPLETE-ARO-PWY	11654.6904	11800.4611	11731.3689	11842.853	9887.4202	9299.6472	10749.1779	9283.7447	9457.7659	9812.5055	10262.4489	9380.7954	9118.0317	9315.9482	10634.7247	11474.2344	11440.4981	11481.2372	10736.5022	10855.0521	10413.114
CRNFORCAT-PWY	7698.5467	8896.6345	8734.8913	8729.1545	4969.0429	3534.5292	5569.7949	3636.9188	6150.254	6923.8558	7156.6001	5791.5627	6219.8755	3532.7018	7725.1609	10385.1403	9979.4405	10188.4055	9758.7028	11188.1489	8479.2494
DAPLYSINESYN-PWY	11768.4989	11900.6949	11768.689	11793.3454	10078.8727	9497.3658	10650.7219	9913.5712	10255.3344	10774.0478	11208.1186	10214.2556	9977.4005	9977.5711	11766.6882	12787.8692	12752.6047	12789.4241	12030.5244	12091.1986	11664.1655
DENITRIFICATION-PWY	1.3389	0.0	0.0	1.3395	0.0	0.0	0.0	32.2972	31.7724	37.2472	32.348	21.7375	21.8258	45.4705	3.9716	6.3284	1.9634	3.1632	1.9224	1.9057	0.6503
DENOVOPURINE2-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2329.876	4064.3204	3857.6121	3402.5106	4472.4838	4552.4421	3567.2333	0.0	0.0	5.0581	1.2649	1.2649	0.0	0.0
DTDPRHAMSYN-PWY	10275.5856	10365.9783	10269.4691	10329.5271	8693.777	8223.3014	9333.4413	10848.4308	9039.887	9605.6502	9758.2799	9988.0149	9402.913	10317.5703	11601.9342	12293.5314	12397.8586	12062.1234	11444.1426	10868.7873	11635.38
FAO-PWY	11134.5961	13860.6723	13334.4774	13719.1589	11553.1708	10677.6782	12386.9692	12121.0331	9136.7387	8884.0086	7446.7495	6558.4541	5203.8213	7443.4999	9551.6614	9938.9599	10249.0872	8782.2003	8311.057	5653.5672	10218.331
FASYN-ELONG-PWY	23683.6313	24722.0254	24226.4601	24456.7028	18963.8522	17329.015	20868.5185	18026.268	19483.9825	20292.4934	20876.5468	18645.1298	18439.0682	17610.6625	21089.0324	22505.3921	22320.0589	22713.6118	21580.5674	22773.8715	20162.4254
FASYN-INITIAL-PWY	11334.5406	11104.2252	10961.8668	10915.1951	9233.9006	8446.0969	9576.5765	8168.5591	9882.2159	10125.1235	10829.0866	9946.9291	9790.2782	9642.903	10819.4732	11383.4584	11267.3594	11653.3881	10863.6115	11420.8201	9930.0543
FERMENTATION-PWY	721.5889	767.2926	781.2027	686.6702	2583.9545	2759.7541	1776.7943	2992.4488	2623.9177	2430.8446	1890.8918	1907.6479	1595.6425	1965.4297	415.4386	75.8733	55.8763	125.4422	108.6931	81.1861	315.592
FOLSYN-PWY	8870.6597	8363.2386	8316.2833	8266.6249	7836.8708	7267.0914	8021.4381	7389.4835	6923.977	6920.5356	6636.2868	7445.6573	6925.6093	8079.1095	5382.7588	2925.8374	2874.3085	2925.4682	2867.6684	2622.2768	3119.3821
GALACT-GLUCUROCAT-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	863.8263	1738.7051	1667.1752	1448.327	1857.2121	1969.8811	1247.2619	0.0	0.0	1.9796	0.495	0.495	0.0	0.0
GALACTARDEG-PWY	596.0164	297.4907	417.125	500.835	122.4305	21.7423	480.3086	3.9848	1.3372	2.6461	0.0	98.2483	20.3508	27.3873	113.8265	47.5469	81.9563	66.8224	21.1957	12.5682	33.7277
GALACTUROCAT-PWY	5007.5124	5660.6086	5647.0563	5627.681	3699.8708	3054.7419	3789.985	3259.0014	4717.8571	5335.317	5491.4354	4106.5555	4377.0382	2586.4163	6318.8245	7357.404	7133.7022	7438.753	7227.689	8237.0843	6251.3467
GALLATE-DEGRADATION-I-PWY	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	1.33	0.67	1.33	1.0	0.0	0.33
GALLATE-DEGRADATION-II-PWY	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	1.33	0.67	1.33	1.0	0.0	0.33
GLCMANNANAUT-PWY	522.6946	252.7412	356.4738	427.3489	102.3486	18.8893	393.5893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLUCARGALACTSUPER-PWY	596.0164	297.4907	417.125	500.835	122.4305	21.7423	480.3086	3.9848	1.3372	2.6461	0.0	98.2483	20.3508	27.3873	113.8265	47.5469	81.9563	66.8224	21.1957	12.5682	33.7277
GLUCONEO-PWY	13168.0853	13255.1471	13026.8888	13055.7463	10849.5859	10100.3316	11626.3662	10815.0032	10395.0364	10856.195	11190.5671	10577.572	10262.0588	10448.1406	12226.3062	12467.3255	12477.7798	12498.8744	11844.5724	11853.7111	11557.9934
GLUCOSE1PMETAB-PWY	271.4414	314.3957	333.4403	267.0149	1079.3732	1293.0566	625.1877	1004.2291	804.9121	566.7506	451.5288	323.6485	141.5945	588.2162	654.3277	71.0483	56.9115	44.4495	60.82	32.3292	116.3655
GLUCUROCAT-PWY	4213.8175	4963.6971	4959.4147	4901.3321	3228.6742	2655.0485	3127.8999	3153.7033	4813.4	5394.8048	5508.0574	4278.1319	4592.8101	2690.1795	5943.029	7195.9012	6950.9835	7267.4741	7017.4638	8077.0563	5999.5448
GLUTORN-PWY	11073.3844	11312.6879	11118.8805	11168.2728	9484.5166	8963.1439	10078.4582	9708.6681	9379.3749	9894.1773	10284.1519	9365.7982	9140.4132	9145.3244	11114.9299	12134.057	12114.9714	12065.7499	11363.8846	11370.5512	11123.6717
GLYCOCAT-PWY	3615.5666	4738.8555	4763.5628	4893.3667	3893.1192	4107.3301	4281.7725	2466.8248	2016.6208	1751.4856	1482.1202	1175.5208	658.1544	1362.3197	2183.0248	2850.1678	2791.4121	2222.2957	1784.1046	1170.6553	2383.8873
GLYCOGENSYNTH-PWY	4917.7413	6075.6579	6163.764	6320.0789	4390.7142	4313.6548	5047.6748	4769.0872	5296.8989	6047.8013	5969.8286	4311.3634	4349.3329	3210.2811	7301.3677	9538.3271	9311.5073	9136.2108	8642.7165	9055.9653	8230.186
GLYCOLYSIS	8606.014	8448.8307	8680.9722	8758.8121	7528.0231	6870.966	8085.9851	7794.8499	8175.5848	8303.8411	8505.1359	7948.1121	7747.0103	7769.4671	5566.237	6884.7783	6853.4427	7005.9186	5507.6781	5343.1854	6153.7144
