pathway,description
1CMET2-PWY,N10-formyl-tetrahydrofolate biosynthesis
ANAEROFRUCAT-PWY,homolactic fermentation
ANAGLYCOLYSIS-PWY,glycolysis III (from glucose)
ARG+POLYAMINE-SYN,superpathway of arginine and polyamine biosynthesis
ARGORNPROST-PWY,"arginine, ornithine and proline interconversion"
ARGSYN-PWY,L-arginine biosynthesis I (via L-ornithine)
ARGSYNBSUB-PWY,L-arginine biosynthesis II (acetyl cycle)
ARO-PWY,chorismate biosynthesis I
ASPASN-PWY,superpathway of L-aspartate and L-asparagine biosynthesis
AST-PWY,L-arginine degradation II (AST pathway)
BIOTIN-BIOSYNTHESIS-PWY,biotin biosynthesis I
BRANCHED-CHAIN-AA-SYN-PWY,superpathway of branched amino acid biosynthesis
CALVIN-PWY,Calvin-Benson-Bassham cycle
CATECHOL-ORTHO-CLEAVAGE-PWY,catechol degradation to &beta;-ketoadipate
CHLOROPHYLL-SYN,"chlorophyllide a biosynthesis I (aerobic, light-dependent)"
COA-PWY,coenzyme A biosynthesis I
COBALSYN-PWY,adenosylcobalamin salvage from cobinamide I
COLANSYN-PWY,colanic acid building blocks biosynthesis
COMPLETE-ARO-PWY,superpathway of aromatic amino acid biosynthesis
CRNFORCAT-PWY,creatinine degradation I
DAPLYSINESYN-PWY,L-lysine biosynthesis I
DENITRIFICATION-PWY,nitrate reduction I (denitrification)
DENOVOPURINE2-PWY,superpathway of purine nucleotides de novo biosynthesis II
DTDPRHAMSYN-PWY,dTDP-L-rhamnose biosynthesis I
FAO-PWY,fatty acid &beta;-oxidation I
FASYN-ELONG-PWY,fatty acid elongation -- saturated
FASYN-INITIAL-PWY,superpathway of fatty acid biosynthesis initiation (E. coli)
FERMENTATION-PWY,mixed acid fermentation
FOLSYN-PWY,superpathway of tetrahydrofolate biosynthesis and salvage
FUCCAT-PWY,fucose degradation
GALACT-GLUCUROCAT-PWY,superpathway of hexuronide and hexuronate degradation
GALACTARDEG-PWY,D-galactarate degradation I
GALACTUROCAT-PWY,D-galacturonate degradation I
GALLATE-DEGRADATION-I-PWY,gallate degradation II
GALLATE-DEGRADATION-II-PWY,gallate degradation I
GLCMANNANAUT-PWY,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"
GLUCARGALACTSUPER-PWY,superpathway of D-glucarate and D-galactarate degradation
GLUCONEO-PWY,gluconeogenesis I
GLUCOSE1PMETAB-PWY,glucose and glucose-1-phosphate degradation
GLUCUROCAT-PWY,superpathway of &beta;-D-glucuronide and D-glucuronate degradation
